GameNumber,RallyNumber,StrokeNumber,Frame,FrameNumber,Player,Stroke,ScoreP0,ScoreP1,Phase,is_serve,score,rally_position,band,rally_id,color,effectiveness,effectiveness_label,reason,rally_start_frame,rally_end_frame,rally_start_ms,rally_end_ms
1,1,4,frame_2686,2686,P0,forehand_lift,0,0,start,False,0.4,4,3,1,red,,Error,P0 made an error,2558,2686,85267,89533
1,2,2,frame_3026,3026,P0,forehand_smash,0,1,start,False,1.0,2,5,2,green,,Winner,P0 hit a winner,2959,3026,98633,100867
1,3,7,frame_3564,3564,P0,overhead_smash,1,1,start,False,1.0,7,5,3,green,,Winner,P0 hit a winner,3399,3564,113300,118800
1,4,3,frame_3994,3994,P0,forehand_defense_cross,2,1,start,False,0.1,3,1,4,green,,Winner,P0 hit a winner,3914,3994,130467,133133
1,5,3,frame_4427,4427,P0,overhead_smash,3,1,start,False,1.0,3,5,5,green,,Winner,P0 hit a winner,4345,4427,144833,147567
1,7,2,frame_5336,5336,P0,overhead_smash_cross,4,2,start,False,1.0,2,5,7,green,,Winner,P0 hit a winner,5272,5336,175733,177867
1,10,4,frame_6590,6590,P0,forehand_clear,6,3,start,False,0.45,4,3,10,darkred,2.0,Bad (2%),forehand_clear → overhead_smash_cross → backhand_defense,6504,6640,216800,221333
1,10,6,frame_6640,6640,P0,backhand_defense,6,3,start,False,0.1,6,1,10,green,,Winner,P0 hit a winner,6504,6640,216800,221333
1,12,2,frame_7440,7440,P0,overhead_smash,7,4,start,False,1.0,2,5,12,green,98.0,Excellent (98%),overhead_smash → forehand_defense → backhand_lift_cross,7407,7513,246900,250433
1,13,5,frame_8080,8080,P0,forehand_pulldrop_cross,8,4,start,False,0.5,5,3,13,darkred,34.0,Bad (34%),forehand_pulldrop_cross → forehand_netkeep → backhand_lift_cross,7919,8134,263967,271133
1,13,7,frame_8134,8134,P0,backhand_lift_cross,8,4,start,False,0.4,7,3,13,red,,Error,P0 made an error,7919,8134,263967,271133
1,14,2,frame_8555,8555,P0,forehand_drop,8,5,start,False,0.3,2,2,14,darkred,26.0,Bad (26%),forehand_drop → backhand_netkeep → forehand_lift,8490,8962,283000,298733
1,14,8,frame_8759,8759,P0,overhead_clear_cross,8,5,start,False,0.45,8,3,14,darkred,0.0,Bad (0%),overhead_clear_cross → overhead_smash → forehand_defense,8490,8962,283000,298733
1,14,10,frame_8807,8807,P0,forehand_defense,8,5,start,False,0.1,10,1,14,darkred,0.0,Bad (0%),forehand_defense → backhand_netkeep → forehand_lift,8490,8962,283000,298733
1,14,12,frame_8866,8866,P0,forehand_lift,8,5,start,False,0.4,12,3,14,red,37.0,Poor (37%),forehand_lift → overhead_clear_cross → overhead_drop_cross,8490,8962,283000,298733
1,16,3,frame_10217,10217,P0,forehand_drop,10,5,start,False,0.3,3,2,16,darkred,34.0,Bad (34%),forehand_drop → backhand_lift_cross → overhead_drop_cross,10127,11015,337567,367167
1,16,5,frame_10284,10284,P0,overhead_drop_cross,10,5,start,False,0.3,5,2,16,red,42.0,Poor (42%),overhead_drop_cross → backhand_netkeep_cross → backhand_dribble,10127,11015,337567,367167
1,16,7,frame_10342,10342,P0,backhand_dribble,10,5,start,False,1.0,7,5,16,green,92.0,Excellent (92%),backhand_dribble → forehand_lift_cross → forehand_smash,10127,11015,337567,367167
1,16,9,frame_10422,10422,P0,forehand_smash,10,5,start,False,1.0,9,5,16,green,100.0,Excellent (100%),forehand_smash → backhand_defense_cross → backhand_lift,10127,11015,337567,367167
1,16,17,frame_10685,10685,P0,overhead_clear,10,5,start,False,0.45,17,3,16,darkred,0.0,Bad (0%),overhead_clear → forehand_smash → backhand_defense,10127,11015,337567,367167
1,16,19,frame_10735,10735,P0,backhand_defense,10,5,start,False,0.1,19,1,16,darkred,2.0,Bad (2%),backhand_defense → forehand_lift_cross → forehand_drop,10127,11015,337567,367167
1,16,21,frame_10781,10781,P0,forehand_drop,10,5,start,False,0.3,21,2,16,darkred,34.0,Bad (34%),forehand_drop → backhand_lift → forehand_clear,10127,11015,337567,367167
1,16,25,frame_10925,10925,P0,forehand_pulldrop,10,5,start,False,0.5,25,3,16,darkred,34.0,Bad (34%),forehand_pulldrop → backhand_lift_cross → backhand_pulldrop,10127,11015,337567,367167
1,17,3,frame_11858,11858,P0,forehand_defense,11,5,start,False,0.1,3,1,17,darkred,0.0,Bad (0%),forehand_defense → overhead_smash → forehand_defense,11775,11935,392500,397833
1,18,3,frame_12606,12606,P0,forehand_clear,12,5,championship,False,0.45,3,3,18,red,42.0,Poor (42%),forehand_clear → overhead_clear → forehand_drop_cross,12518,12708,417267,423600
1,20,3,frame_13698,13698,P0,overhead_clear,13,6,championship,False,0.45,3,3,20,red,,Error,P0 made an error,13618,13698,453933,456600
1,21,2,frame_14005,14005,P0,backhand_lift,13,7,championship,False,0.4,2,3,21,red,,Error,P0 made an error,13972,14005,465733,466833
1,23,2,frame_14697,14697,P0,backhand_lift_cross,13,9,championship,False,0.4,2,3,23,red,42.0,Poor (42%),backhand_lift_cross → forehand_clear_cross → forehand_drop,14661,14901,488700,496700
1,23,6,frame_14822,14822,P0,overhead_smash,13,9,championship,False,1.0,6,5,23,green,100.0,Excellent (100%),overhead_smash → forehand_defense → backhand_netkeep,14661,14901,488700,496700
1,24,3,frame_15470,15470,P0,backhand_lift,14,9,championship,False,0.4,3,3,24,red,42.0,Poor (42%),backhand_lift → forehand_clear → overhead_drop_cross,15382,15657,512733,521900
1,24,5,frame_15528,15528,P0,overhead_drop_cross,14,9,championship,False,0.3,5,2,24,darkred,26.0,Bad (26%),overhead_drop_cross → backhand_netkeep → forehand_lift_cross,15382,15657,512733,521900
1,24,9,frame_15657,15657,P0,forehand_netkeep,14,9,championship,False,0.7,9,4,24,red,,Error,P0 made an error,15382,15657,512733,521900
1,25,2,frame_16132,16132,P0,overhead_halfsmash_cross,14,10,championship,False,0.7,2,4,25,green,90.0,Excellent (90%),overhead_halfsmash_cross → backhand_defense_cross → backhand_lift_cross,16069,16308,535633,543600
